
data/sprites/items/

bag01.png  bleutailfly; OGA BY 3.0; Stendhal (unused)
rod_of_the_gm.png        Angry Amish, Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/87071
skull_staff.*            Angry Amish, Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/87071
staff.png                Anders Asplund (Danter); GPL 2.0; Stendhal
ugmash.png               Henrique Lazarini (7Soul1); CC0; https://opengameart.org/node/39455
vulcano_hammer.png       David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/; re-worked grand_warhammer
wizard_staff.png         Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/

data/sprites/items/container/

backpack.png                 Diligent Dodo (soniccuz); CC BY-SA 3.0/4.0; Stendhal
bottle.png                   Groundhug McHampster (h4mt4r0); GPL 2.0+; Stendhal, https://sourceforge.net/p/arianne/patches/280/
bottle_eared.png             omero; CC BY-SA 3.0; Stendhal
bottle_fat.png               omero; CC BY-SA 3.0; Stendhal
bottle_large.png             omero; CC BY-SA 3.0; Stendhal
bottle_medium.png            Groundhug McHampster (h4mt4r0); GPL 2.0+; Stendhal, https://sourceforge.net/p/arianne/patches/280/
bottle_short_rounded.png     omero; CC BY-SA 3.0; Stendhal
bottle_short_triangular.png  omero; CC BY-SA 3.0; Stendhal
bottle_slim.png              omero; CC BY-SA 3.0; Stendhal
bottle_squared.png           omero; CC BY-SA 3.0; Stendhal
bottle_tall.png              omero; CC BY-SA 3.0; Stendhal
bottle_triangular.png        omero; CC BY-SA 3.0; Stendhal
empty_goblet.png             Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
empty_sack.png               omero; CC BY-SA 3.0; Stendhal
flask.png                    Groundhug McHampster (h4mt4r0); GPL 2.0+; Stendhal, https://sourceforge.net/p/arianne/patches/280/
full_goblet.png              Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
keyring.png                  Jordan Irwin (AntumDeluge); CC0; Stendhal
vial.png                     Jordan Irwin (AntumDeluge); CC0; Stendhal

data/sprites/items/crystal/

crystal*  Iwan Gabovitch (qubodup); CC BY 3.0; https://opengameart.org/node/11013

data/sprites/items/documents/

closed_envelope.png    Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal
coupon.*               Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal
envelope.xcf.bz2       Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal
ice_scroll.*           Dungeon Crawl Stone Soup, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
license.png            tigertoes; CC BY-SA 3.0; Stendhal
map.png                Katie Russell (kymara); GPL 2.0; Stendhal
mapwithgrid.png        Katie Russell (kymara); GPL 2.0; Stendhal
opened_envelope.png    Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal
paper.*                Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal
recipe.*               Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal
sealed_envelope.png    Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal
unsealed_envelope.png  Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal

data/sprites/items/drink/

antidote.png                   Groundhug McHampster (h4mt4r0); GPL 2.0+; Stendhal, https://sourceforge.net/p/arianne/patches/280/
beer.png                       Open Clipart Library, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendha, http://www.clker.com/clipart-16755.html
cobra_venom.*                  Jordan Irwin (AntumDeluge); CC0; Stendhal
deadly_poison.png              Groundhug McHampster (h4mt4r0); GPL 2.0+; Stendhal, https://sourceforge.net/p/arianne/patches/280/
disease_poison.png             Groundhug McHampster (h4mt4r0); GPL 2.0+; Stendhal, https://sourceforge.net/p/arianne/patches/280/
fierywater.png                 omero; CC BY-SA 3.0; Stendhal
fish_soup.png                  Kimmo Rundelin (kiheru), Storyteller; CC BY-SA 3.0; Stendhal
greater_antidote.png           Groundhug McHampster (h4mt4r0); GPL 2.0+; Stendhal, https://sourceforge.net/p/arianne/patches/280/
greater_poison.png             Groundhug McHampster (h4mt4r0); GPL 2.0+; Stendhal, https://sourceforge.net/p/arianne/patches/280/
greater_potion.png             Groundhug McHampster (h4mt4r0); GPL 2.0+; Stendhal, https://sourceforge.net/p/arianne/patches/280/
holy_water.*                   Groundhug McHampster (h4mt4r0), Jordan Irwin (AntumDeluge); GPL 2.0+; Stendhal, https://sourceforge.net/p/arianne/patches/280/
koboldish_torcibud_mild.png    omero; CC BY-SA 3.0; Stendhal
koboldish_torcibud_strong.png  omero; CC BY-SA 3.0; Stendhal
koboldish_torcibud_vsop.png    omero; CC BY-SA 3.0; Stendhal
love_potion.png                Groundhug McHampster (h4mt4r0), Katie Russell (kymara); GPL 2.0+; Stendhal
mana.png                       Groundhug McHampster (h4mt4r0), RedQueen; GPL 2.0+; Stendhal
mega_poison.png                Groundhug McHampster (h4mt4r0); GPL 2.0+; Stendhal, https://sourceforge.net/p/arianne/patches/280/
mega_potion.png                Groundhug McHampster (h4mt4r0); GPL 2.0+; Stendhal, https://sourceforge.net/p/arianne/patches/280/
milk.png                       Henrique Lazarini (7Soul1); CC0; https://opengameart.org/node/39455
