This file should be synced with: https://stendhalgame.org/wiki/Stendhal:Audio_copyright/SFX

data/sounds/

alligator-1.ogg            U.S. Fish and Wildlife Service; public domain; http://www.fws.gov/video/sound.htm
grunt-1.ogg                free sound pack
grunt-2.ogg                free sound pack
grunt-large-1.ogg          SmallQuadruped; CC0; http://www.freesound.org/people/SmallQuadruped/sounds/42201/
grunt-large-1.wav.xz       SmallQuadruped; CC0; http://www.freesound.org/people/SmallQuadruped/sounds/42201/
grunt-large-2.ogg          SmallQuadruped; CC0; http://www.freesound.org/people/SmallQuadruped/sounds/42201/
grunt-large-2.wav.xz       SmallQuadruped; CC0; http://www.freesound.org/people/SmallQuadruped/sounds/42201/
guitar-1.ogg               Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/16326
guitar-1.wav.xz            Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/16326
hammer-1.ogg               free sound pack
hammer-1.wav.xz            free sound pack
harp-1.ogg                 free sound pack
hiccup-1.ogg               free sound pack
hiccup-2.ogg               free sound pack
hiccup-3.ogg               free sound pack
ho-ho-ho-1.ogg             canucklovingbrit; CC0; http://freesound.org/people/canucklovingbrit/sounds/110641/
ho-ho-ho-1.wav.xz          canucklovingbrit; CC0; http://freesound.org/people/canucklovingbrit/sounds/110641/
ho-ho-ho-2.ogg             canucklovingbrit; CC0   http://freesound.org/people/canucklovingbrit/sounds/110642/
ho-ho-ho-2.wav.xz          canucklovingbrit; CC0   http://freesound.org/people/canucklovingbrit/sounds/110642/
horse-1.ogg                unknown; public domain; http://sounds.simplythebest.net/details/29/Horse-Neigh-sound.html
horse-1.wav.xz             unknown; public domain; http://sounds.simplythebest.net/details/29/Horse-Neigh-sound.html
horse-2.ogg                unknown; public domain; http://sounds.simplythebest.net/details/19/Horse-Exhale-sound.html
howl-11.ogg                free sound pack
howl-11.wav.xz             free sound pack
howl-1.ogg                 free sound pack
howl-1.wav.xz              free sound pack
howl-2.ogg                 free sound pack
howl-2.wav.xz              free sound pack
howl-5.ogg                 free sound pack
howl-5.wav.xz              free sound pack
hyena-1.ogg                free sound pack
hyena-2.ogg                free sound pack
hyena-2.wav.xz             free sound pack
hyena-3.ogg                free sound pack
ice-cubes-1.ogg            free sound pack
kettle-1.ogg               free sound pack
keys-1.ogg                 Storyteller; GPL
kitten-meow-1.ogg          videog; CC0; http://freesound.org/people/videog/sounds/149191/
kitten-meow-1.wav.xz       videog; CC0; http://freesound.org/people/videog/sounds/149191/
kitten-meow-2.ogg          videog; CC0; http://freesound.org/people/videog/sounds/149191/
kitten-meow-2.wav.xz       videog; CC0; http://freesound.org/people/videog/sounds/149191/
kitten-meow-3.ogg          videog; CC0; http://freesound.org/people/videog/sounds/149191/
kitten-meow-3.wav.xz       videog; CC0; http://freesound.org/people/videog/sounds/149191/
kitten-mew-1.ogg           Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/81250
kitten-mew-1.wav.xz        Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/81250
kitten-purr-1.ogg          Belhene; CC0; http://freesound.org/people/Belhene/sounds/157837/
kitten-purr-1.wav.xz       Belhene; CC0; http://freesound.org/people/Belhene/sounds/157837/
lama-1.ogg                 free sound pack
lama-1.wav.xz              free sound pack
lark-1.ogg                 free sound pack
lark-2.ogg                 free sound pack
laugh-1.ogg                free sound pack
laugh-2.ogg                free sound pack
laugh-33.ogg               free sound pack
laugh-33.wav.xz            free sound pack
laugh-evil-1.ogg           Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/81237
laugh-evil-3.ogg           free sound pack
laugh-evil-4.ogg           free sound pack
laugh-evil-5.ogg           free sound pack
leopard-11.ogg             free sound pack
lion-11.ogg                free sound pack
lion-11.wav.xz             free sound pack
lion-1.ogg                 Info-farmer; public domain; http://commons.wikimedia.org/wiki/File:Lion_raring-sound1TamilNadu178.ogg
lion-22.ogg                free sound pack
lion-2.ogg                 unknown; public domain; https://sf.net/projects/myabcs
lion-2.wav.xz              unknown; public domain; https://sf.net/projects/myabcs
loop-drag-slimy-1.ogg      altfuture; CC0; http://www.freesound.org/people/altfuture/sounds/174634/
loop-drag-slimy-1.wav.xz   altfuture; CC0; http://www.freesound.org/people/altfuture/sounds/174634/
loop-grind-stone-1.ogg     j1987; CC0; http://www.freesound.org/people/j1987/sounds/95007/
